Source/Request	Already?	Know? (grade)	POPULAR	Title	APP	Artist	Other Artist	Year	Other year	Duplicate	Decade	Genre	Crowd hit	Country?	Gig notes	MP3	Lyrics	Melody	Chords	Needs?	SIB DONE	PDF DONE	FORSCORE/TYPE
PRF 4th only				I Won't Last A Day Without You																			
				I Write The Songs																			PRF
PRF 3rd only				I'll Be Loving You (Forever)																			PRF
PRF 4th only				I'll Never Love This Way Again																			PRF
				I'm Henry VIII, I Am																			PRF
PRF 3rd only				I'm Just a Singer (In a Rock and Roll Band)																			PRF
PRF 3rd only				I'm Sorry																			PRF
PRF 4th only				I'm Too Sexy																			
PRF 3rd only				I've Told Ev'ry Little Star																			PRF
				If																			PRF
PRF 4th only				If Ever You're In My Arms Again																			
				If I Were A Carpenter																			PRF
PRF 4th only				If You Leave Me Now																			PRF
PRF 4th only				In Too Deep																			PRF
PRF 4th only				Is That All There Is																			PRF
				It Never Rains In Southern California																			PRF
				It's All In The Game																			PRF
				It's Just A Matter Of Time																			PRF
				It's Now Or Never																			PRF
PRF 4th only				It's Your Love																			
PRF 4th only				Jenny Take A Ride																			PRF
				Jive Talkin' (from SATURDAY NIGHT FEVER)																			PRF
PRF 4th only				Joy To The World																			PRF
				Keep On Dancing																			PRF
				King Of The Road																			PRF
				Kiss You All Over																			PRF
PRF 3rd only				Kissing a Fool																			PRF
				Knock Three Times																			PRF
PRF 4th only				Lady In Red																			
PRF 4th only				Last Date																			PRF
				Last Kiss																			PRF
				Laughter In The Rain																			PRF
PRF 3rd only				Lay Down (Candles in the Rain)																			PRF
PRF 4th only				Lead Me On																			PRF
				Leader Of The Pack																			PRF
PRF 4th only				Let's Get Together (Get Together)																			PRF
PRF 4th only				Let's Hang On (featured in JERSEY BOYS)																			
PRF 4th only				Limbo Rock																			PRF
PRF 4th only				Little Deuce Coupe																			
PRF 3rd only				Little Green Apples																			PRF
				Little Jeannie																			PRF
PRF 4th only				Little Star																			PRF
				Lollipop																			PRF
				Longer																			PRF
PRF 3rd only				looking for a New Love																			PRF
PRF 4th only				Looks Like We Made It																			PRF
				Lost In Your Eyes																			PRF
PRF 3rd only				Love Grows (Where My Rosemary Goes)																			PRF
PRF 3rd only				Love Is All Around																			PRF
PRF 4th only				Love Me																			
PRF 3rd only				Love of a Lifetime																			PRF
PRF 4th only				Love Potion Number 9																			
PRF 3rd only				Love So Right																			PRF
				Love Takes Time																			PRF
PRF 4th only				Love Theme From “St. Elmo's Fire” (from the Motion Picture ST. ELMO'S FIRE)																			PRF
PRF 4th only				Love Will Find A Way																			PRF
				Love Will Keep Us Together																			PRF
				Mama Told Me (Not To Come)																			PRF
				Mandy																			PRF
				Maneater																			PRF
				Maniac (from the Paramount Picture FLASHDANCE)																			PRF
PRF 4th only				Maria Maria																			
				Massachusetts (The Lights Went Out)																			PRF
				Me And Bobby McGee																			PRF
PRF 4th only				Mellow Yellow																			PRF
				Mickey																			PRF
PRF 3rd only				Midnight Train to Georgia																			PRF
				Miracle																			RBF
PRF 4th only				Missing You																			PRF
				Moments To Remember																			PRF
PRF 3rd only				Monday, Monday																			PRF
				More Love																			RBF
PRF 4th only				More Than Words																			
PRF 3rd only				Morning Train (Nine to Five)																			PRF
				Mr. Big Stuff																			RBF
PRF 3rd only				Mr. Custer																			PRF
				Mr. Lee																			PRF
				Mr. Spaceman																			CRF
				Mrs. Brown You've Got A Lovely Daughter																			PRF
				My All																			RBF
				My Babe																			RBF
PRF 4th only				My Boy Lollipop																			
				My Eyes Adored You																			PRF
PRF 3rd only				My Love																			PRF
				My Prerogative																			RBF
				My World Is Empty Without You																			RBF
				Na Na Hey Hey Kiss Him Goodbye																			PRF
				Nadine (Is It You)																			RBF
PRF 3rd only				Neither One of Us (Wants to Be the First to Say Goodbye)																			PRF
PRF 4th only				Never Been To Spain																			PRF
				Never Can Say Goodbye																			RBF
				Never Knew Love Like This Before																			RBF
PRF 4th only				Never My Love																			
				Night																			RBF
				Night Fever (from SATURDAY NIGHT FEVER)																			PRF
				Nightshift																			RBF
				Nightshift																			PRF
PRF 3rd only				Nikita																			PRF
				Nobody																			RBF
PRF 3rd only				Nobody Told Me																			PRF
PRF 3rd only				Nothin' at All																			PRF
PRF 4th only				Nothing From Nothing																			
				Nothing's Gonna Stop Us Now																			PRF
				Nowhere To Run																			RBF
PRF 4th only				Off The Wall																			PRF
PRF 3rd only				Oh Sheila																			PRF
PRF 4th only				Oh, Lonesome Me																			
PRF 3rd only				On a Carousel																			PRF
				On And On																			RBF
PRF 4th only				On The Road Again																			PRF
PRF 4th only				On The Wings Of Love																			PRF
				One Less Bell To Answer																			RBF
				One Mint Julep																			RBF
				One More Try																			PRF
PRF 3rd only				One Night in Bangkok																			PRF
				One Toke Over The Line																			PRF
PRF 3rd only				Only in My Dreams																			PRF
PRF 3rd only				Only Love Can Break a Heart																			PRF
				Only The Lonely (Know The Way I Feel)																			PRF
PRF 4th only				Only Women Bleed																			PRF
				Ooo Baby Baby																			RBF
PRF 3rd only				Opposites Attract																			PRF
PRF 3rd only				Out of the Blue																			PRF
				Over The Mountain, Across The Sea																			RBF
				Pain In My Heart																			RBF
				Papa's Got A Brand New Bag																			RBF
				Part Time Lover																			RBF
PRF 4th only				Party Doll																			PRF
PRF 3rd only				Patches (I 'm Depending on You)																			PRF
				People Got To Be Free																			PRF
PRF 4th only				Peppermint Twist																			PRF
				Philadelphia Freedom																			PRF
				Physical																			PRF
				Pick Up The Pieces																			RBF
				Pipeline																			PRF
				Playboy																			RBF
				Please Accept My Love																			RBF
																							
																							
																							
PRF 3rd only				Poetry in Motion																			PRF
				Poison Ivy																			RBF
				Poor Side Of Town																			PRF
				Precious And Few																			PRF
																							
PRF 4th only				Private Eyes																			PRF
				Put Your Hand In The Hand																			PRF
PRF 4th only				Rag Doll																			
				Raindrops																			RBF
				Raindrops																			PRF
PRF 4th only				Rainy Days And Mondays																			PRF
																							
				Reach Out And I'll Be There																			RBF
				Reach Out And Touch (Somebody's Hand)																			RBF
				Real Love																			RBF
PRF 3rd only				Real Real Real																			PRF
				Rebel 'Rouser																			PRF
PRF 4th only				Release Me																			PRF
																							
				Respect Yourself																			RBF
																							
PRF 4th only				Return To Me																			PRF
				Return To Sender (from GIRLS! GIRLS! GIRLS!)																			PRF
PRF 3rd only				Reunited																			PRF
																							
PRF 3rd only				Rhythm of My Heart																			PRF
				Ribbon In The Sky																			RBF
PRF 3rd only				Ride Like the Wind																			PRF
PRF 3rd only				Right Here, Right Now																			PRF
				Rip It Up																			PRF
PRF 4th only				Rock With You																			
PRF 4th only				Rock Your Baby																			PRF
				Rocket 88																			RBF
																							
																							
				Ruby Baby																			RBF
PRF 3rd only				Ruby, Don't Take Your Love to Town																			PRF
																							
				Run To You (from the film THE BODYGUARD)																			RBF
				Runaway																			RBF
				Runaway																			PRF
				Sacrifice																			PRF
				Sad Eyes																			PRF
PRF 3rd only				Sad Songs (Say So Much)																			PRF
				Sail On																			RBF
				Sailing																			PRF
PRF 3rd only				San Francisco (Be Sure to Wear Some Flowers in Your Hair)																			PRF
				Save a Horse Ride a Cowboy 																			
																							
																							
				Save Your Heart For Me																			PRF
				Saving All My Love For You																			RBF
																							
				Say It Loud (I'm Black And I'm Proud)																			RBF
PRF 4th only				Say, Has Anybody Seen My Sweet Gypsy Rose																			PRF
				Sea Of Love (featured in the Motion Picture SEA OF LOVE)																			PRF
				Searchin'																			RBF
																							
				Seasons In The Sun (Le Moribond)																			PRF
PRF 4th only				Secretly																			PRF
				See Saw																			RBF
				See You Later, Alligator																			PRF
				Send Me Some Lovin'																			RBF
PRF 4th only				Send Me The Pillow You Dream On																			PRF
				Send One Your Love																			RBF
				Separate Lives (Love Theme from WHITE NIGHTS)																			PRF
																							
PRF 3rd only				Shadow Dancing																			PRF
				Shake Me, Wake Me (When It's Over)																			RBF
				Shake You Down																			RBF
PRF 3rd only				Shake Your Love																			PRF
																							
PRF 3rd only				Shattered Dreams																			PRF
PRF 3rd only				She Believes in Me																			PRF
																							
PRF 3rd only				She Works Hard for the Money																			PRF
				She's A Lady																			PRF
																							
																							
				She's Gone																			RBF
																							
																							
PRF 4th only				Sheila																			PRF
				Shining Star																			RBF
																							
				Shop Around																			RBF
																							
PRF 4th only				Short Shorts																			PRF
				Shotgun																			RBF
																							
																							
				Sign Your Name																			RBF
																							
				Silhouettes																			PRF
PRF 3rd only				Simply Irresistible																			PRF
PRF 4th only				Since I Don't Have You																			
				Since I Met You Baby																			PRF
				Sincerely																			PRF
				Sing A Song																			RBF
PRF 4th only				Singing The Blues																			PRF
																							
				Sixteen Candles																			PRF
				Sixteen Reasons (Why I Love You)																			PRF
				Sixteen Tons																			PRF
				Sleepwalk																			PRF
				Smile A Little Smile For Me																			PRF
				Smiling Faces Sometimes																			RBF
PRF 4th only				Smoke From A Distant Fire																			
				Smokey Joe's Cafe																			RBF
				So Emotional																			RBF
PRF 4th only				Soldier Boy																			
PRF 3rd only				Soldier of Love																			PRF
																							
				Somebody's Watching Me																			RBF
				Someday																			PRF
				Someday (Esmeralda's Prayer) (from Walt Disney's THE HUNCHBACK OF NOTRE DAME)																			PRF
				Someday We'll Be Together																			RBF
																							
																							
																							
PRF 4th only				Somewhere In The Night																			
				Son Of Shaft																			RBF
				Soul Finger																			RBF
				Soul Limbo																			RBF
																							
																							
PRF 4th only				Splish Splash																			PRF
PRF 4th only				Spooky																			
Must learn 				Stacy's Mom 																			
PRF 4th only				Stagger Lee																			
																							
				Standing In The Shadows Of Love																			RBF
				Stay																			PRF
				Stay In My Corner																			RBF
				Still																			RBF
				Stoned Soul Picnic (Picnic, A Green City)																			RBF
																							
PRF 4th only				Stormy																			PRF
PRF 3rd only				Straight Up																			PRF
																							
																							
																							
PRF 4th only				Sugartime																			PRF
																							
																							
																							
																							
																							
				Super Freak																			RBF
PRF 3rd only				Superstar																			PRF
																							
																							
																							
				Suspicion																			PRF
																							
																							
																							
				Sweet Love																			RBF
PRF 4th only				Sweet Pea																			
PRF 3rd only				Take a Letter, Maria																			PRF
				Take A Look Around																			RBF
				Take Good Care Of My Baby																			PRF
PRF 3rd only				Take it Easy on Me																			PRF
																							
				Teardrops																			RBF
																							
				Tears On My Pillow																			RBF
																							
PRF 4th only				Teen Angel																			
				Tell It Like It Is																			RBF
				Tell It Like It Is																			PRF
				Tell Laura I Love Her																			PRF
				Tell Me It's Real																			RBF
				Ten Commandments Of Love																			RBF
PRF 4th only				Tequila																			
				That Girl																			RBF
PRF 3rd only				That's Life																			PRF
PRF 4th only				That's The Way (I Like It)																			
PRF 3rd only				That's the Way I've Always Heard It Should Be																			PRF
				That's The Way Of The World																			RBF
PRF 3rd only				That's What Love Is All About																			PRF
																							
PRF 4th only				The Boy From New York City																			
PRF 4th only				The Boy Is Mine																			
																							
PRF 4th only				The Great Pretender																			
				The Green Door																			PRF
PRF 4th only				The Grooveline																			
				The Little Old Lady (From Pasadena)																			PRF
PRF 4th only				The Living Years																			
																							
																							
PRF 4th only				The Lonely Bull																			PRF
				The Next Time I Fall																			PRF
PRF 3rd only				The Night Chicago Died																			PRF
PRF 3rd only				The Night Owls																			PRF
				The One That You Love																			PRF
				The One Who Really Loves You																			RBF
																							
																							
																							
PRF 3rd only				The Stroll																			PRF
				The Tears Of A Clown																			RBF
				The Tracks Of My Tears																			RBF
																							
				The Walk																			RBF
				The Watusi																			RBF
PRF 3rd only				The Wayward Wind																			PRF
				Theme From Shaft (from SHAFT)																			RBF
																							
																							
				There Goes My Baby																			PRF
				There's A Kind Of Hush (All Over The World)																			PRF
				Things																			PRF
PRF 3rd only				This Diamond Ring																			PRF
				This Is For The Lover In You																			RBF
PRF 4th only				This Kiss																			
				This Masquerade																			RBF
PRF 3rd only				This One's for the Children																			PRF
																							
PRF 4th only				Tie A Yellow Ribbon Round The Ole Oak Tree																			
PRF 3rd only				Time (Clock of the Heart)																			PRF
PRF 4th only				Time In A Bottle																			
				Time Is Tight																			RBF
				Time Will Reveal																			RBF
																							
				Tired Of Being Alone																			RBF
				To All The Girls I've Loved Before																			PRF
				To Be With You																			PRF
				To Love Somebody																			PRF
				To Sir, With Love (from TO SIR, WITH LOVE)																			PRF
PRF 3rd only				Tobacco Road																			PRF
				Together Again																			RBF
				Tonight, I Celebrate My Love																			RBF
																							
																							
				Too Busy Thinking About My Baby																			RBF
PRF 4th only				Top Of The World																			
				Torn Between Two Lovers																			PRF
				Touch A Hand, Make A Friend																			RBF
				Touch Me In The Morning																			RBF
																							
PRF 4th only				Traces																			
				Tragedy																			PRF
PRF 4th only				Travelin' Man																			
																							
																							
																							
																							
																							
PRF 4th only				Two Hearts																			
				Unpretty																			RBF
				Up, Up And Away																			PRF
																							
				Venus																			PRF
																							
																							
PRF 4th only				Walk A Mile In My Shoes																			
				Walk Away Renee																			PRF
PRF 4th only				Walk Don't Run																			
PRF 4th only				Walk Like An Egyptian																			
				Walk On By																			RBF
				Walk On By																			PRF
PRF 4th only				Walk Right In																			
				Walk This Way																			PRF
				Walkin' The Dog																			RBF
																							
PRF 3rd only				Want Ads																			PRF
				War																			RBF
				Way Over There																			RBF
																							
																							
				We're In This Love Together																			RBF
PRF 4th only				We've Only Just Begun																			
				Wedding Bell Blues																			RBF
																							
																							
				What'd I Say																			PRF
																							
				What's Love Got To Do With It																			PRF
				When I Fall In Love																			PRF
PRF 4th only				When I Grow Up (To Be A Man)																			
																							
PRF 4th only				When Will I Be Loved																			
				When You Say Nothing At All																			PRF
																							
				Where Do Broken Hearts Go																			RBF
																							
PRF 3rd only				Where Does My Heart Beat Now																			PRF
				Where The Boys Are																			PRF
				Which Way You Going Billy?																			PRF
																							
																							
																							
PRF 4th only				Who's Making Love																			
PRF 4th only				Why Do Fools Fall In Love																			
				Why Does It Hurt So Bad (from the Original Soundtrack Album WAITING TO EXHALE)																			RBF
																							
																							
Tuzzy Braddy/Tuz Piano 6/7/16				Use Somebody	Y	Kings of Leon		0			00s												yes
PRF 4th only				Will It Go Round In Circles																			
PRF 4th only				Winchester Cathedral																			
PRF 3rd only				Wind of Change																			PRF
																							
				Wishing Well																			RBF
																							
																							
																							
																							
PRF 3rd only				With Every Beat of My Heart																			PRF
				Woman																			PRF
				Woman In Love																			PRF
				Wonderful! Wonderful!																			PRF
				Wooly Bully (featured in the Motion Picture SPLASH)																			PRF
				Workin' On A Groovy Thing																			RBF
				Working In The Coal Mine																			RBF
				Working My Way Back To You (featured in JERSEY BOYS)																			RBF
PRF 4th only																							
				Wrap It Up																			RBF
				Yes, I'm Ready																			RBF
				Yester-Me, Yester-You, Yesterday																			RBF
																							
																							
PRF 4th only				Yesterday Once More																			
																							
				You And I																			RBF
PRF 4th only				You And Me Against The World																			
PRF 4th only				You Are So Beautiful																			
																							
																							
																							
PRF 4th only				You Don't Have To Be A Star (To Be In My Show)																			
				You Don't Know Like I Know																			RBF
PRF 4th only				You Don't Mess Around With Jim																			
				You Don't Own Me																			PRF
PRF 3rd only				You Give Good Love																			PRF
																							
				You Got It (from the Original Soundtrack Album BOYS ON THE SIDE)																			PRF
				You Haven't Done Nothin'																			RBF
				You Keep Me Hangin' On																			RBF
																							
PRF 4th only				You Make Me Feel Like Dancing																			
																							
																							
				You Should Be Dancing (from SATURDAY NIGHT FEVER)																			PRF
PRF 4th only				You Talk Too Much																			
				You're All I Need To Get By																			RBF
PRF 3rd only				You're in love																			PRF
				You're Makin' Me High																			RBF
				You're My Choice Tonight (from CHOOSE ME)																			RBF
																							
				You're The Inspiration																			PRF
				You've Lost That Lovin' Feelin'																			PRF
																							
																							
																							
																							
				Young Blood																			RBF
																							
PRF 4th only				Young Love																			
																							
PRF 4th only				Your Mama Don't Dance																			
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							PRF
																							
PRF 4th only																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							PRF
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
05/14/16 Fleischman party																				LC			
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
				Video	Y	Ben Folds Five		9			90s												BF Scores
			Y	Vienna	Y	Billy Joel		7															BJC
				Vision Of Love	Y	Mariah Carey		9															RBF
Tuzzy Braddy/Tuz Piano 6/7/16				Viva La Vida	Y	Coldplay		0			00s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Wagon Wheel	Y	Darius Rucker		0			00s												yes
05/14/16 Fleischman party	X			Wagon Wheel	Y	Darius Rucker ^^ Old Crow Medicine Show	Old Crow Medicine Show	10					X										
				Wait	Y	The Beatles		6			60s-70s												BFB
				Waiting On A Friend	Y	The Rolling Stones		7															CRF
				Wake Me Up Before You Go-Go	Y	George Michael ^^ Wham!	Wham!	8															PRF
				Wake Up Little Susie	Y	The Everly Brothers		1958															PRF
				Walk This Way	Y	Aerosmith		8															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Walking In Memphis	Y	Mark Cohn		7			70s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Walking On Sunshine	Y	Katrina and the Waves		8			80s												yes
				Wannabe 	Y	Spice Girls		9															
		B		Wanted Dead or Alive	Y	Bon Jovi		8			80s				Brillant					lyrics done, needs chords			TO LEARN
PRF 3rd only				Water Runs Dry	Y	Boyz II Men		9															PRF
Tuzzy Braddy/Tuz Piano 6/7/16				Waterfalls	Y	TLC		9			90s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				We Are The Champions	Y	Queen		7			70s												yes
05/07/16 Irizarry wedding				We are Young	Y	Fun		10								X	doc	done (ARO)		Tuz polishing			LS
				We Built This City	Y	Jefferson Starship		8															PRF
				We Can Work It Out	Y	The Beatles		6			60s-70s												BFB
			Y	We Didn't Start The Fire	Y	Billy Joel		9															BJC
				We Got The Beat	Y	The Go-Gos		1981															PRF
				We Will Rock You	Y	Queen		7															CRF
				Weekend Song	Y	Billy Joel		7															BJC
Tuzzy Braddy/Tuz Piano 6/7/16				What a Wonderful World 	Y	Louis Armstrong		6			60s												yes
				What Goes On	Y	The Beatles		6			60s-70s												BFB
				What Is This Thing Called Love?	Y	Standards		Standards															
Tuzzy Braddy/Tuz Piano 6/7/16				What Makes You Beautiful	Y	One Direction		1			10s												yes
				What The World Needs Now Is Love	Y	Dionne Warwick		6															PRF
				What You're Doing	Y	The Beatles		6			60s-70s												BFB
				What's Going On	Y	Marvin Gaye		7															RBF
				Whatever Gets You Through The Night	Y	John Lennon		7															CRF
Brillant		C		Wheel In The Sky	Y	Journey		8			80s				Brillant								CRF
				When A Man Loves A Woman	Y	Percy Sledge		6															
Tuzzy Braddy/Tuz Piano 6/7/16				When I Come Around	Y	Green Day		9			90s												yes
				When I Get Home	Y	The Beatles		6			60s-70s												BFB
				When I'm Sixty-Four	Y	The Beatles		6			60s-70s												BFB
				When In Rome	Y	Billy Joel		8															BJC
				When You Believe (From The Prince Of Egypt)	Y	Mariah Carey ^^ Whitney Houston	Whitney Houston	Disney ^^ 9			Disney ^^ 9	Disney											RBF
				Where Did Our Love Go	Y	Soft Cell ^^ The Supremes		8 ^^ 6															RBF
Tuzzy Braddy/Tuz Piano 6/7/16				Where In the World Is Carmen Sandiego	Y	Rockapella		9			90s												yes
				Where Or When	Y	Frank Sinatra		Standards															
				Where's The Orchestra?	Y	Billy Joel		8															BJC
				While My Guitar Gently Weeps	Y	The Beatles		6			60s-70s												BFB
				White Rabbit	Y	Jefferson Airplane		6															CRF
				White Room	Y	Cream		6															CRF
		C		Who's Cryin' Now	Y	Journey		8			80s				Brillant								TO LEARN
				Why Don't We Do It In The Road	Y	The Beatles		6			60s-70s												BFB
				Why Judy Why	Y	Billy Joel		7															BJC
				Why Try To Change Me Now?	Y	Standards		Standards															
				Wild Thing	Y	The Troggs		1966															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Wild World	Y	Cat Stevens		6			60-70												yes
				Wild, Wild West	Y			9															PRF
Tuzzy Braddy/Tuz Piano 6/7/16				With A Little Help From My Friends	Y	The Beatles ^^ Joe Cocker		6			60s												yes
PRF 3rd only				With or Without You	Y	U2		1987															PRF
				Within You Without You	Y	The Beatles		6			60s-70s												BFB
				Wonderful Tonight	Y	Eric Clapton		7															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Wonderwall	Y	Oasis		9			90s												yes
				Worse Comes To Worst	Y	Billy Joel		7															BJC
				Wouldn't It Be Nice	Y	The Beach Boys		6					X										CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Wrecking Ball	Y	Miley Cyrus		1			10s												yes
				Yakety Yak	Y	The Coasters		1962															PRF
Tuzzy Braddy/Tuz Piano 6/7/16				Yellow	Y	Coldplay		0			00s												yes
				Yellow Submarine	Y	The Beatles		6			60s-70s												BFB
				Yer Blues	Y	The Beatles		6			60s-70s												BFB
				Yes It Is	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				Yesterday	Y	The Beatles		6			60s												yes
				You Ain't Seen Nothin' Yet	Y	Bachman-Turner Overdrive		7															CRF
				You And The Night And The Music	Y	Standards		Standards															
				You Are The Sunshine Of My Life	Y	Stevie Wonder		7															RBF
				You Are There	Y	Standards		Standards															
Tuzzy Braddy/Tuz Piano 6/7/16				You Belong With Me	Y	Taylor Swift		0			00s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				You Can Call Me Al	Y	Paul Simon		8			80s												yes
				You Can Make Me Free	Y	Billy Joel		7															BJC
				You Can't Do That	Y	The Beatles		6			60s-70s												BFB
				You Can't Hurry Love	Y	The Supremes		6															RBF
		C		You Give Love A Bad Name	Y	Bon Jovi		8			80s				Brillant								CRF
				You Know My Name (Look Up The Number)	Y	The Beatles		6			60s-70s												BFB
				You Like Me Too Much	Y	The Beatles		6			60s-70s												BFB
				You Look So Good To Me	Y	Billy Joel		7															BJC
				You Make Lovin' Fun	Y	Fleetwood Mac		7															CRF
				You Make Me Feel So Young	Y	Frank Sinatra		Standards															
05/14/16 Fleischman party				You Make My Dreams Come True	Y	Hall and Oates		8												Finish LS			
			Y	You May Be Right	Y	Billy Joel		8															BJC
				You Mean The World To Me	Y	Toni Braxton		9															RBF
				You Never Give Me Your Money	Y	The Beatles		6			60s-70s												BFB
				You Sexy Thing	Y	Hot Chocolate		7															RBF
				You Won't See Me	Y	The Beatles		6			60s-70s												BFB
				You'd Be So Nice To Come Home To	Y	Standards		Standards															
PRF 4th only				You'll Be In My Heart	Y	Phil Collins		Disney ^^ 9			Disney ^^ 9	Disney											PRF 4th (don't have)
				You'll Never Know	Y	Standards		Standards															
				You're Going To Lose That Girl	Y	The Beatles		6			60s-70s												BFB
				You're My Best Friend	Y	Queen		7															CRF
			Y	You're My Home	Y	Billy Joel		7															BJC
PRF 3rd only				You're So Vain	Y	Carly Simon		7															PRF
				You're The One That I Want (from Grease)	Y	John Travolta & Olivia Newton John  ^^ Grease	Grease	7															PRF
				You're The Top	Y	Frank Sinatra		Standards															
				You've Got A Friend	Y	Carole King ^^ James Taylor		7															PRF
				You've Got To Hide Your Love Away	Y	The Beatles		6			60s-70s												BFB
				You've Got To Hide Your Love Away	Y	The Beatles		6															CRF
				You've Really Got A Hold On Me	Y	The Beatles		6			60s-70s												BFB
				Young Americans	Y	David Bowie		7															CRF
05/14/16 Fleischman party	X			Your Love	Y	The Outfield		1985															
				Your Mother Should Know	Y	The Beatles		6			60s-70s												BFB
				Your Redneck Past	Y	Ben Folds Five		9			90s												BF Scores
PRF 3rd only				Your Song	Y	Elton John		7															PRF
				Zak and Sara	Y	Ben Folds		0			00s												PV
				Zanzibar	Y	Billy Joel		7															BJC
Tuzzy Braddy/Tuz Piano 6/7/16				Zombie	Y	The Cranberries		9			90s												yes
